,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Consider the following workload: Show the schedule using shortest remaining time, nonpreemptive priority (a smaller priority number implies higher priority) and round robin with quantum 30 ms. Use time scale diagram as shown below for the FCFS example to show the schedule for each requested scheduling policy. What is the average waiting time of the above scheduling policies?",,Evaluate,,,,
"Consider a system with memory mapping done on a page basis and using a single level page table. Assume that the necessary page table is always in memory. If a memory reference takes 200 ns, how long does a paged memory reference take?",,Evaluate,,,,
Assume you want to implement a hashed inverted page table for the same. How much memory space is needed for the user page table of Figure 8.4?,,Evaluate,,,,
"One scheme to avoid the problem of preallocation versus waste or lack of contiguity is to allocate portions of increasing size as the file grows. For example, begin with a portion size of one block, and double the portion size for each allocation. Consider a file of n records with a blocking factor of F, and suppose that a simple one-level index is used as a file allocation table. Give an upper limit on the number of entries in the file allocation table as a function of F and n.",,Evaluate,,,,
What is a digital immune system?,,Remember,,,,
State the advantages of segmented paging over pure segmentation?,,Remember,,,,
What criteria are important in choosing a file organization?,,Analyse,,,,
Give four general examples of the use of threads in a single-user multiprocessing system.,,Remember,,,,
List and briefly define five file organizations.,,Remember,,,,
Consider the following fragment: <CODE> What type of malicious software is this?,,Understand,,,,
How can the speed of interrupt driven input output systems be improved?,,Analyse,,,,
What is a library?,,Remember,,,,
"The UNIX kernel will dynamically grow a processâ€™s stack in virtual memory as needed, but it will never try to shrink it. Consider the case in which a program calls a C subroutine that allocates a local array on the stack that consumes 10 K. The kernel will expand the stack segment to accommodate it. When the subroutine returns, the stack pointer is adjusted and this space could be released by the kernel, but it is not released. Explain why it would be possible to shrink the stack at this point and why the UNIX kernel does not shrink it.",,Understand,,,,
"Assume that a task is divided into four equal-sized segments and that the system builds an eight-entry page descriptor table for each segment. Thus, the system has a combination of segmentation and paging. Assume also that the page size is 2 Kbytes. Assume that an element in physical location 00021ABC is accessed by this task. What is the format of the logical address that the task generates for it? What is the maximum physical address space for the system?",,Evaluate,,,,
Consider a paged logical address space (composed of 32 pages of 2 Kbytes each) mapped into a 1-Mbyte physical memory space. What is the length and width of the page table (disregarding the â€œaccess rightsâ€ù bits)?,,Evaluate,,,,
Prove that the minimax response ratio algorithm of the preceding problem minimizes the maximum response ratio for a given batch of jobs. (Hint: Focus attention on the job that will achieve the highest response ratio and all jobs executed before it. Consider the same subset of jobs scheduled in any other order and observe the response ratio of the job that is executed as the last one among them. Notice that this subset may now be mixed with other jobs from the total set.),,Evaluate,,,,
Consider a set of five aperiodic tasks with the execution profiles of Table 10.7. Develop scheduling diagrams similar to those of Figure 10.6 for this set of tasks.,,Apply,,,,
Explain the booting process of a Windows XP system.,,Remember,,,,
What is an operating system?,,Remember,,,,
Define jacketing.,,Remember,,,,
"When an input file is opened, what are the possible errors that may occur?",,Understand,,,,
Contrast the scheduling policies you might use when trying to optimize a time-sharing system with those you would use to optimize a multiprogrammed batch system.,,Evaluate,,,,
What is middleware?,,Remember,,,,
"In the discussion of ULTs versus KLTs, it was pointed out that a disadvantage of ULTs is that when a ULT executes a system call, not only is that thread blocked, but also all of the threads within the process are blocked. Why is that so?",,Understand,,,,
What is SMP?,,Remember,,,,
"An early attempt to force users to use less predictable passwords involved computer supplied passwords. The passwords were eight characters long and were taken from the character set consisting of lowercase letters and digits. They were generated by a pseudorandom number generator with 215 possible starting values. Using the technology of the time, the time required to search through all character strings of length 8 from a 36-character alphabet was 112 years. Unfortunately, this is not a true reflection of the actual security of the system. Explain the problem.",,Understand,,,,
What are the pros and cons of using circuit switching?,,Remember,,,,
"Many current language specifications, such as for C and C++, are inadequate for multithreaded programs. This can have an impact on compilers and the correctness of code, as this problem illustrates. Consider the following declarations and function definition: <CODE> Now consider the case in which thread A performs <CODE> while thread B performs <CODE> What does the function do?",,Analyse,,,,
What is the difference between demand cleaning and precleaning?,,Remember,,,,
"In a queueing system, new jobs must wait for a while before being served. While a job waits, its priority increases linearly with time from zero at a rate a. A job waits until its priority reaches the priority of the jobs in service; then, it begins to share the processor equally with other jobs in service using round robin while its priority continues to increase at a slower rate b. The algorithm is referred to as selfish round robin, because the jobs in service try (in vain) to monopolize the processor by increasing their priority continuously. Use Figure 9.19 to show that the mean response time Rx for a job of service time x is given by:  where Rx  s +x-s 1 - r 1 - r r ls r assuming that arrival and service times are exponentially distributed with means 1/  and s, respectively. (Hint: Consider the total system and the two subsystems separately.)",,Evaluate,,,,
What are the benefits and losses of placing the functionality in a device controller rather than in placing it in the kernel?,,Understand,,,,
What are the activities related to the Time Shared User Program Management?,,Remember,,,,
What is the kernel of an OS?,,Remember,,,,
Describe Main memory and Secondary memory storage in brief.,,Understand,,,,
Consider a hypothetical 32-bit microprocessor having 32-bit instructions composed of two fields. The first byte contains the opcode and the remainder an immediate operand or an operand address. What is the maximum directly addressable memory capacity (in bytes)?,,Analyse,,,,
List and briefly define three classes of intruders.,,Remember,,,,
List the three control problems associated with competing processes and briefly de- fine each.,,Remember,,,,
What is cycle stealing?,,Remember,,,,
How does dynamic loading aid in better memory space utilization?,,Understand,,,,
"Consider a system with memory mapping done on a page basis and using a single level page table. Assume that the necessary page table is always in memory. Now we add an MMU that imposes an overhead of 20 ns on a hit or a miss. If we assume that 85% of all memory references hit in the MMU TLB, what is the Effective Memory Access Time (EMAT)?",,Evaluate,,,,
What is dead lock?,,Remember,,,,
What is Direct Access Method?,,Remember,,,,
What is the difference between resident set management and page replacement policy?,,Remember,,,,
"Write the binary translation of the logical address 0001010010111010 under the following hypothetical memory management schemes, and explain your answer: a segmentation system with a 1K-address maximum segment size, using a segment table in which bases happen to be regularly placed at real addresses: 22   4,096 segment #",,Understand,,,,
Consider the following set of processes: <TABLE> Perform the same analysis as depicted in Table 9.5 and Figure 9.5 for this set.,,Analyse,,,,
What are the steps performed by an OS to create a new process?,,Remember,,,,
What is accomplished by page buffering?,,Understand,,,,
"In Solaris 8, a single LWP supports one or more ULTs. In Solaris 8, the thread execution state of a ULT is distinct from that of its LWP. Explain why.",,Analyse,,,,
Let buddyk(x)   address of the buddy of the block of size 2k whose address is x. Write a general expression for buddyk(x).,,Understand,,,,
"Consider a 32-bit microprocessor, with a 16-bit external data bus, driven by an 8-MHz input clock. What is the maximum data transfer rate across the bus that this microprocessor can sustain in bytes/s?",,Apply,,,,
What are the typical elements of a process image?,,Remember,,,,
What is an idle thread?,,Remember,,,,
Differentiate between logical and physical address.,,Remember,,,,
What are the key object oriented concepts used by Windows NT?,,Remember,,,,
What are the basic functions of an operating system?,,Remember,,,,
What is a compiler?,,Remember,,,,
"An application program is executed on a nine-computer cluster. A benchmark program takes time T on this cluster. Further, 25% of T is time in which the application is running simultaneously on all nine computers. The remaining time, the application has to run on a single computer. Calculate the effective speedup under the aforementioned condition as compared to executing the program on a single computer. Also calculate, the percentage of code that has been parallelized (programmed or compiled so as to use the cluster mode) in the preceding program.",,Analyse,,,,
"In virtually all systems that include DMA modules, DMA access to main memory is given higher priority than processor access to main memory. Why?",,Analyse,,,,
"Consider the following ways of handling deadlock: (1) bankerâ€™s algorithm, (2) detect deadlock and kill thread, releasing all resources, (3) reserve all resources in advance, (4) restart thread and release all resources if thread needs to wait, (5) resource ordering, and (6) detect deadlock and roll back threadâ€™s actions. a. One criterion to use in evaluating different approaches to deadlock is which approach permits the greatest concurrency. In other words, which approach allows the most threads to make progress without waiting when there is no deadlock? Give a rank order from 1 to 6 for each of the ways of handling deadlock just listed, where 1 allows the greatest degree of concurrency.",,Evaluate,,,,
This program is an example of a general design pattern that is a uniform way to implement solutions to many concurrency problems using semaphores. It has been referred to as the Pass The Baton pattern. Describe the pattern.,,Remember,,,,
List the key design issues for an SMP operating system.,,Remember,,,,
"Least laxity first (LLF) is a real-time scheduling algorithm for periodic tasks. Slack time, or laxity, is the amount of time between when a task would complete if it started now and its next deadline. This is the size of the available scheduling window. Laxity can be expressed as Laxity = (deadline time) - (current time) - (processor time needed) LLF selects the task with the minimum laxity to execute next. If two or more tasks have the same minimum laxity value, they are serviced on a FCFS basis. Suppose a task currently has a laxity of t. By how long may the scheduler delay starting this task and still meet its deadline?",,Analyse,,,,
What is the relationship between a pathname and a working directory?,,Understand,,,,
Give three examples of an interrupt.,,Remember,,,,
Differentiate logical from physical address space.,,Remember,,,,
What is semaphore?,,Remember,,,,
"Because we have standards such as TCP/IP, why is middleware needed?",,Understand,,,,
Is it possible to have a deadlock involving only one process? Explain your answer.,,Understand,,,,
The program execution is described in the text using six steps. Expand this description to show the use of the MAR and MBR.,,Understand,,,,
What distinguishes client/server computing from any other form of distributed data processing?,,Understand,,,,
Differentiate between Complier and Interpreter?,,Remember,,,,
Show that the four conditions of deadlock apply to Figure 6.1a.,,Understand,,,,
What is multitasking?,,Remember,,,,
"Consider the following program. <CODE> Assume that the program is running on a system using demand paging and the page size is 1 Kilobyte. Each integer is 4 bytes long. It is clear that each array requires a 16-page space. As an example, A[0, 0]-A[0, 63], A[1, 0]-A[1, 63], A[2, 0]-A[2, 63], and A[3, 0]-A[3, 63] will be stored in the first data page. A similar storage pattern can be derived for the rest of array A and for arrays B and C. Assume that the system allocates a 4-page working set for this process. One of the pages will be used by the program and three pages can be used for the data. Also, two index registers are assigned for i and j (so, no memory accesses are needed for references to these two variables). Can you modify the program to minimize the page fault frequency? What will be the frequency of page faults after your modification?",,Apply,,,,
What requirements is memory management intended to satisfy?,,Understand,,,,
"A process contains eight virtual pages on disk and is assigned a fixed allocation of four page frames in main memory. The following page trace occurs: 1, 0, 2, 2, 1, 7, 6, 7, 0, 1, 2, 0, 3, 0, 4, 5, 1, 5, 2, 4, 5, 6, 7, 6, 7, 2, 4, 2, 7, 3, 3, 2, 3 Compare the two hit ratios and comment on the effectiveness of using FIFO to approximate LRU with respect to this particular trace.",,Evaluate,,,,
What is relative path and absolute path?,,Remember,,,,
"In the traditional UNIX file access model, UNIX systems provide a default setting for newly created files and directories, which the owner may later change. The default is typically full access for the owner combined with one of the following: no access for group and other, read/execute access for group and none for other, or read/execute access for both group and other. Briefly discuss the advantages and disadvantages of each of these cases, including an example of a type of organization where each would be appropriate.",,Remember,,,,
Tell us something about Mutex.,,Remember,,,,
"A process references five pages, A, B, C, D, and E, in the following order: A; B; C; D; A; B; E; A; B; C; D; E Assume that the replacement algorithm is first-in-first-out and find the number of page transfers during this sequence of references starting with an empty main memory with three page frames. Repeat for four page frames.",,Evaluate,,,,
How would you identify daemons in Unix?,,Remember,,,,
What are loosely coupled systems?,,Remember,,,,
Give an example of a Process State.,,Remember,,,,
What is GUI?,,Remember,,,,
List and briefly define the four main elements of a computer.,,Remember,,,,
What software comprises the TinyOS operating system?,,Remember,,,,
"Consider a sharable resource with the following characteristics: (1) As long as there are fewer than three processes using the resource, new processes can start using it right away. (2) Once there are three process using the resource, all three must leave before any new processes can begin using it. We realize that counters are needed to keep track of how many processes are waiting and active, and that these counters are themselves shared resources that must be protected with mutual exclusion. So we might create the following solution: <CODE> The program is nevertheless incorrect. Explain why.",,Analyse,,,,
What is the basic difference between pre-emptive and non-pre-emptive scheduling.,,Remember,,,,
What are demand-paging and pre-paging?,,Remember,,,,
"A software approach to mutual exclusion is Lamportâ€™s bakery algorithm [LAMP74], so called because it is based on the practice in bakeries and other shops in which every customer receives a numbered ticket on arrival, allowing each to be served in turn. The algorithm is as follows: <CODE> Show that this algorithm avoids deadlock.",,Analyse,,,,
What are the principal objectives that guided the design of the eCos kernel?,,Understand,,,,
The following code fragments show a sequence of virus instructions and a polymorphic version of the virus. Describe the effect produced by the metamorphic code.,,Analyse,,,,
What is cache-coherency?,,Remember,,,,
It was stated that deadlock cannot occur for the situation reflected in Figure 6.3. Justify that statement.,,Understand,,,,
Explain the positioning time for a disk.,,Remember,,,,
"What are the distinctions among logical, relative, and physical addresses?",,Understand,,,,
What is the relationship between FIFO and clock page replacement algorithms?,,Understand,,,,
What is FtDisk?,,Remember,,,,
When does page fault error occur?,,Remember,,,,
Explain why Ubuntu is safe and not affected by viruses?,,Understand,,,,
List and briefly define four classes of real-time scheduling algorithms.,,Remember,,,,
"In Section 2.3, we listed five objectives of memory management, and in Section 7.1, we listed five requirements. Argue that each list encompasses all of the concerns addressed in the other.",,Understand,,,,
"In general, what are the strategies for exploiting spatial locality and temporal locality?",,Understand,,,,
What is the difference between turnaround time and response time?,,Remember,,,,
Briefly define shortest-process-next scheduling.,,Remember,,,,
Give a formula for F for the three blocking methods depicted in Figure 12.8.,,Evaluate,,,,
What is a drawback of MVT?,,Remember,,,,
"For the DAC model discussed in Section 15.2, an alternative representation of the protection state is a directed graph. Each subject and each object in the protection state is represented by a node (a single node is used for an entity that is both subject and object). A directed line from a subject to an object indicates an access right, and the label on the link defines the access right. Draw a directed graph that corresponds to the access matrix of Figure 12.15a.",,Apply,,,,
What is kernel?,,Remember,,,,
What is the difference between periodic and aperiodic real-time tasks?,,Remember,,,,
What are pages?,,Remember,,,,
"Ignoring overhead for directories and file descriptors, consider a file system in which files are stored in blocks of 16K bytes. For each of the following file sizes, calculate the percentage of wasted file space due to incomplete filling of the last block: 41,600 bytes; 640,000 bytes; 4.064,000 bytes.",,Evaluate,,,,
"It was stated that the inclusion of the salt in the UNIX password scheme increases the difficulty of guessing by a factor of 4096. But the salt is stored in plaintext in the same entry as the corresponding ciphertext password. Therefore, those two characters are known to the attacker and need not be guessed. Why is it asserted that the salt increases security?",,Understand,,,,
What is cascading termination?,,Remember,,,,
"TinyOSâ€™s scheduler serves tasks in FIFO order. Many other schedulers for TinyOS have been proposed, but none have caught on. What characteristics of the sensornet domain might cause a lack of need for more complex scheduling?",,Remember,,,,
"In the commentary on Figure 5.9 and Table 5.4, it was stated that â€œit would not do simply to move the conditional statement inside the critical section (controlled by s) of the consumer because this could lead to deadlock.â€ù Demonstrate this with a table similar to Table 5.4.",,Understand,,,,
How can the circular wait condition be prevented?,,Remember,,,,
Explain the rationale for the Uninterruptible state in Linux.,,Understand,,,,
A 1-Mbyte block of memory is allocated using the buddy system. Show the binary tree representation following Return B.,,Apply,,,,
"In eCos, what is the difference between an interrupt service routine and a deferred service routine?",,Remember,,,,
Figure 13.14 is a listing of code intended for use on the eCos kernel. Explain the operation of the code. Assume thread B begins execution first and thread A begins to execute after some event occurs.,,Understand,,,,
Show that message passing and semaphores have equivalent functionality by b. Implementing a semaphore using message passing. Hint: Introduce a separate synchronization process.,,Evaluate,,,,
"A software approach to mutual exclusion is Lamportâ€™s bakery algorithm [LAMP74], so called because it is based on the practice in bakeries and other shops in which every customer receives a numbered ticket on arrival, allowing each to be served in turn. The algorithm is as follows: <CODE> The arrays choosing and number are initialized to false and 0, respectively. The ith element of each array may be read and written by process i but only read by other processes. The notation (a, b) < (c, d) is defined as: ( a < c ) or ( a = c and b < d ) Describe the algorithm in words.",,Understand,,,,
"Consider an automated teller machine (ATM) in which users provide a personal identification number (PIN) and a card for account access. Give examples of confidentiality, integrity, and availability requirements associated with the system and, in each case, indicate the degree of importance of the requirement.",,Create,,,,
What is the difference between block-oriented devices and stream-oriented devices? Give a few examples of each.,,Remember,,,,
"Prove that, among nonpreemptive scheduling algorithms, SPN provides the minimum average waiting time for a batch of jobs that arrive at the same time. Assume that the scheduler must always execute a task if one is available.",,Analyse,,,,
What is an Assembler?,,Remember,,,,
List two ways in which the no-preemption condition can be prevented.,,Remember,,,,
What is caching?,,Remember,,,,
What are the disadvantages of using threads?,,Remember,,,,
Explain how to access Terminal?,,Remember,,,,
"Consider a variant of the RR scheduling algorithm where the entries in the ready queue are pointers to the PCBs. If we are to put two pointers to the same process in the ready queue,  what would be the major advantage of this scheme?",,Analyse,,,,
"The OS/390 mainframe operating system is structured around the concepts of address space and task. Roughly speaking, a single address space corresponds to a single application and corresponds more or less to a process in other operating systems. Within an address space, a number of tasks may be generated and execute concurrently; this corresponds roughly to the concept of multithreading. Two data structures are key to managing this task structure. An address space control block (ASCB) contains information about an address space needed by OS/390 whether or not that address space is executing. Information in the ASCB includes dispatching priority, real and virtual memory allocated to this address space, the number of ready tasks in this address space, and whether each is swapped out. A task control block (TCB) represents a user program in execution. It contains information needed for managing a task within an address space, including processor status information, pointers to programs that are part of this task, and task execution state. ASCBs are global structures maintained in system memory, while TCBs are local structures maintained within their address space. What is the advantage of splitting the control information into global and local portions?",,Analyse,,,,
What are the stipulations of C2 level security?,,Remember,,,,
Briefly define the disk scheduling policies illustrated in Figure 11.7.,,Understand,,,,
"Show how each of the techniques of prevention, avoidance, and detection can be applied to Figure 6.1.",,Apply,,,,
Explain the suitability or unsuitability of the following passwords: a. YK 334 b. mfmitm (for â€œmy favorite movie is tender merciesâ€ù) c. Natalie1 d. Washington e. Aristotle f. tv9stove g. 12345678 h. dribgib,,Remember,,,,
"The VAX/VMS operating system makes use of four processor access modes to facilitate the protection and sharing of system resources among processes. The access mode determines â€¢ Instruction execution privileges: What instructions the processor may execute â€¢ Memory access privileges: Which locations in virtual memory the current instruction may access. The four modes are as follows: â€¢ Kernel: Executes the kernel of the VMS operating system, which includes memory management, interrupt handling, and I/O operations â€¢ Executive: Executes many of the OS service calls, including file and record (disk and tape) management routines â€¢ Supervisor: Executes other OS services, such as responses to user commands â€¢ User: Executes user programs, plus utilities such as compilers, editors, linkers, and debuggers. A process executing in a less-privileged mode often needs to call a procedure that executes in a more-privileged mode; for example, a user program requires an operating system service. This call is achieved by using a change-mode (CHM) instruction, which causes an interrupt that transfers control to a routine at the new access mode. A return is made by executing the REI (return from exception or interrupt) instruction. A number of operating systems have two modes, kernel and user. What are the advantages and disadvantages of providing four modes instead of two?",,Evaluate,,,,
What is SCSI?,,Remember,,,,
Explain the main purpose of an operating system?,,Remember,,,,
What is a Real-Time System?,,Remember,,,,
What is busy waiting?,,Remember,,,,
What is the role of compression in the operation of a virus?,,Analyse,,,,
What concurrency mechanisms are available in eCos?,,Remember,,,,
What is the Translation Lookaside Buffer (TLB)?,,Remember,,,,
What is thrashing?,,Remember,,,,
"This problem demonstrates the use of semaphores to coordinate three types of processes. Santa Claus sleeps in his shop at the North Pole and can only be wakened by either (1) all nine reindeer being back from their vacation in the South Pacific, or (2) some of the elves having difficulties making toys; to allow Santa to get some sleep, the elves can only wake him when three of them have problems. When three elves are having their problems solved, any other elves wishing to visit Santa must wait for those elves to return. If Santa wakes up to find three elves waiting at his shopâ€™s door, along with the last reindeer having come back from the tropics, Santa has decided that the elves can wait until after Christmas, because it is more important to get his sleigh ready. (It is assumed that the reindeer do not want to leave the tropics, and therefore they stay there until the last possible moment.) The last reindeer to arrive must get Santa while the others wait in a warming hut before being harnessed to the sleigh. Solve this problem using semaphores.",,Create,,,,
How does behavior-blocking software work?,,Understand,,,,
"When a special machine instruction is used to provide mutual exclusion in the fashion of Figure 5.2, there is no control over how long a process must wait before being granted access to its critical section. Devise an algorithm that uses the compare&swap instruction but that guarantees that any process waiting to enter its critical section will do so within n â€“ 1 turns, where n is the number of processes that may require access to the critical section and a â€œturnâ€ù is an event consisting of one process leaving the critical section and another process being granted access.",,Create,,,,
List three degrees of awareness between processes and briefly define each.,,Remember,,,,
"The IBM System/370 architecture uses a two-level memory structure and refers to the two levels as segments and pages, although the segmentation approach lacks many of the features described earlier in this chapter. For the basic 370 architecture, the page size may be either 2 Kbytes or 4 Kbytes, and the segment size is fixed at either 64 Kbytes or 1 Mbyte. For the 370/XA and 370/ESA architectures, the page size is 4 Kbytes and the segment size is 1 Mbyte. Which advantages of segmentation does this scheme lack? What is the benefit of segmentation for the 370?",,Analyse,,,,
What is an idle thread?,,Remember,,,,
What is the difference between a page and a frame?,,Remember,,,,
Table 3.13 shows the process states for the VAX/VMS operating system. Draw the state transition diagram and indicate the action or occurrence that causes each transition.,,Understand,,,,
List and briefly define four techniques for thread scheduling.,,Remember,,,,
Which type of process is generally favored by a multilevel feedback queueing schedulerâ€”a processor-bound process or an I/O-bound process? Briefly explain why.,,Remember,,,,
Enumerate the different RAID levels.,,Remember,,,,
"In Solaris 9 and Solaris 10, there is a one-to-one mapping between ULTs and LWPs.  What is the possible benefit of allowing a many-to-one mapping of ULTs to LWPs?",,Analyse,,,,
"A process contains eight virtual pages on disk and is assigned a fixed allocation of four page frames in main memory. The following page trace occurs: 1, 0, 2, 2, 1, 7, 6, 7, 0, 1, 2, 0, 3, 0, 4, 5, 1, 5, 2, 4, 5, 6, 7, 6, 7, 2, 4, 2, 7, 3, 3, 2, 3. Show the successive pages residing in the four frames using the FIFO replacement policy. Compute the hit ratio in main memory. Assume that the frames are initially empty.",,Apply,,,,
"Consider a computer system that contains an I/O module controlling a simple keyboard/printer Teletype. The following registers are contained in the CPU and connected directly to the system bus: Input Register(8), Output Register(8), Input Flag(1), Output Flag(1), and Interrupt Enable(1). The Teletype is able to encode an alphanumeric symbol to an 8-bit word and decode an 8-bit word into an alphanumeric symbol. The Input flag is set when an 8-bit word enters the input register from the Teletype. The Output flag is set when a word is printed. Describe how the CPU, using the first four registers listed in this problem, can achieve I/O with the Teletype. Describe how the function can be performed more efficiently by also employing IEN.",,Create,,,,
What is page cannibalizing?,,Remember,,,,
What necessary conditions can lead to a deadlock situation in a system?,,Understand,,,,
List and briefly define five general areas of requirements for a real-time operating system.,,Remember,,,,
